Batting Average (bin),height weight ratio,HR is 0,Highest BA,BA is 0,Search for name BA,Search for name HR,Right Handed,Home Runs,Home Runs ,Home Runs (bins of 20),Number of Players,Weight ranges (pounds),Weight (lb) ,Batting Average,Handedness,Height (inches),Name,Weight
0.22,0.365853659,False,False,False,True,True,True,73,70,60,1,205,205,0.236,Right,75,Andy Kosco,205
0.19,0.357843137,False,False,False,True,True,False,16,10,0,1,200,200,0.206,Both,73,Steve Huntz,204
0.00,0.365853659,True,False,True,True,True,True,0,0,0,1,205,205,0,Right,75,Gary Wheelock,205
0.24,0.423529412,False,False,False,True,True,True,5,0,0,1,170,170,0.251,Right,72,Lenny Faedo,170
0.24,0.411428571,False,False,False,True,True,False,116,110,100,1,175,175,0.253,Left,72,John Lowenstein,175
0.24,0.429411765,False,False,False,True,True,False,14,10,0,1,170,170,0.252,Both,73,Don Kessinger,170
0.22,0.369230769,False,False,False,True,True,False,40,40,40,1,195,195,0.239,Left,72,Joe Hague,195
0.29,0.389473684,False,False,False,True,True,False,63,60,60,1,190,190,0.299,Left,74,Bake McBride,190
0.26,0.394736842,False,False,False,True,True,True,27,20,20,1,190,190,0.265,Right,75,Dick Davis,190
0.26,0.405555556,False,False,False,True,True,False,13,10,0,1,180,180,0.263,Both,73,Richie Scheinblum,180
0.22,0.374358974,False,False,False,True,True,False,80,80,80,1,195,195,0.24,Left,73,Ed Herrmann,195
0.00,0.370731707,True,False,True,True,True,False,0,0,0,1,205,205,0,Left,76,Mike Rochford,205
0.00,0.384615385,True,False,True,True,True,False,0,0,0,1,195,195,0,Both,75,Jeff Schneider,195
0.26,0.378947368,False,False,False,True,True,False,14,10,0,1,190,190,0.264,Left,72,Bob Molinaro,190
0.24,0.388297872,False,False,False,True,True,False,53,50,40,1,185,185,0.242,Left,73,Mike Hegan,188
0.24,0.379487179,False,False,False,True,True,True,31,30,20,1,195,195,0.247,Right,74,Mike Diaz,195
0.24,0.402234637,False,False,False,True,True,True,25,20,20,1,175,175,0.251,Right,72,Tim Foli,179
0.21,0.378947368,False,False,False,True,True,True,12,10,0,1,190,190,0.213,Right,72,Alan Knicely,190
0.22,0.353773585,False,False,False,True,True,True,77,70,60,1,210,210,0.225,Right,75,Tim Laudner,212
0.28,0.379679144,False,False,False,True,True,True,26,20,20,1,185,185,0.287,Right,71,Jose Morales,187
0.00,0.393258427,True,False,True,True,True,True,0,0,0,1,175,175,0,Right,70,Luis Encarnacion,178
0.00,0.4,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,74,Rick Kreuger,185
0.15,0.389189189,False,False,False,True,True,True,4,0,0,1,185,185,0.165,Right,72,Juan Marichal,185
0.10,0.380952381,False,False,False,True,True,False,4,0,0,1,185,185,0.104,Both,72,Vida Blue,189
0.00,0.418181818,True,False,True,True,True,False,0,0,0,1,165,165,0,Left,69,Angel Moreno,165
0.00,0.394736842,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,75,Roger Weaver,190
0.21,0.423529412,False,False,False,True,True,True,7,0,0,1,170,170,0.218,Right,72,Stan Papi,170
0.24,0.405555556,False,False,False,True,True,False,39,30,20,1,180,180,0.248,Left,73,Rob Wilfong,180
0.00,0.394871795,True,False,True,True,True,True,0,0,0,1,195,195,0,Right,77,Chris Knapp,195
0.28,0.389473684,False,False,False,True,True,True,68,60,60,1,190,190,0.28,Right,74,Steve Henderson,190
0.22,0.4,False,False,False,True,True,True,17,10,0,1,185,185,0.234,Right,74,Rob Picciolo,185
0.00,0.370731707,True,False,True,True,True,True,0,0,0,1,205,205,0,Right,76,Don Welchel,205
0.00,0.394594595,True,False,True,True,True,False,0,0,0,1,185,185,0,Left,73,Randy Wiles,185
0.24,0.4,False,False,False,True,True,True,13,10,0,1,170,170,0.245,Right,68,Roberto Pena,170
0.24,0.45,False,False,False,True,True,True,23,20,20,1,160,160,0.255,Right,72,Bob Dernier,160
0.24,0.37,False,False,False,True,True,True,160,160,160,1,200,200,0.253,Right,74,Bill Melton,200
0.24,0.458064516,False,False,False,True,True,False,5,0,0,1,155,155,0.251,Both,71,Albert Hall,155
0.26,0.411764706,False,False,False,True,True,True,11,10,0,1,170,170,0.267,Right,70,Barbaro Garbey,170
0.24,0.389189189,False,False,False,True,True,False,131,130,120,1,185,185,0.249,Left,72,John Milner,185
0.24,0.405405405,False,False,False,True,True,False,52,50,40,1,185,185,0.253,Left,75,Rich Reese,185
0.22,0.369230769,False,False,False,True,True,False,27,20,20,1,195,195,0.227,Both,72,Chris Bando,195
0.28,0.389189189,False,False,False,True,True,False,174,170,160,1,185,185,0.289,Left,72,Bill Buckner,185
0.24,0.389473684,False,False,False,True,True,True,22,20,20,1,190,190,0.251,Right,74,Jack Hiatt,190
0.21,0.389743590,False,False,False,True,True,True,22,20,20,1,195,195,0.223,Right,76,Nelson Mathews,195
